r_xy_mm,phi_deg,z_mm,spiral,order_idx
112,64.9,-179,reverse,918
69,60.2,-179,forward,919
47,64.9,-201,reverse,920
47,72.6,-194,forward,921
94,67.8,-201,forward,922
94,69.7,-194,reverse,923
95,72.6,-179,forward,924
79,80.2,-192,forward,925
69,77.3,-194,reverse,926
85,89.7,-178,reverse,927
95,85.0,-187,reverse,928
61,92.6,-196,forward,929
56,97.4,-200,reverse,930
88,100.3,-189,forward,931
99,102.1,-180,reverse,932
88,105.0,-184,forward,933
75,109.8,-198,reverse,934
35,105.0,-201,forward,935
40,117.4,-199,reverse,936
73,112.7,-196,forward,937
95,117.4,-182,reverse,938
99,125.1,-177,forward,939
97,120.4,-183,forward,940
90,122.2,-195,reverse,941
53,125.1,-197,forward,942
64,129.8,-194,reverse,943
83,132.8,-201,forward,944
100,137.5,-192,reverse,945
93,137.5,-189,forward,946
81,142.2,-188,reverse,947
51,149.9,-179,reverse,948
66,145.2,-197,forward,949
91,149.9,-177,reverse,950
96,154.6,-187,reverse,951
